iter	Passed	Remaining
0	150	150643
1	157	78802
2	164	54795
3	172	42968
4	179	35769
5	187	31012
6	195	27768
7	203	25191
8	210	23134
9	217	21517
10	224	20179
11	231	19076
12	238	18123
13	245	17298
14	252	16597
15	259	15954
16	266	15407
17	273	14924
18	280	14485
19	287	14094
20	294	13724
21	301	13401
22	308	13109
23	315	12841
24	322	12583
25	329	12351
26	336	12139
27	343	11933
28	350	11735
29	357	11549
30	364	11384
31	370	11220
32	377	11066
33	384	10925
34	392	10809
35	398	10679
36	405	10560
37	412	10444
38	419	10346
39	427	10255
40	434	10159
41	440	10056
42	447	9960
43	453	9863
44	460	9772
45	467	9687
46	473	9601
47	480	9525
48	486	9450
49	493	9374
50	500	9306
51	506	9232
52	513	9170
53	519	9106
54	526	9047
55	533	8987
56	539	8931
57	546	8874
58	553	8828
59	560	8774
60	566	8724
61	573	8675
62	580	8629
63	587	8596
64	594	8551
65	601	8507
66	607	8465
67	614	8425
68	621	8386
69	627	8342
70	634	8306
71	641	8270
72	648	8231
73	654	8190
74	661	8162
75	668	8124
76	674	8086
77	681	8052
78	687	8019
79	694	7987
80	701	7954
81	707	7921
82	714	7890
83	720	7860
84	727	7827
85	733	7797
86	740	7775
87	747	7747
88	754	7726
89	761	7699
90	768	7674
91	774	7644
92	781	7620
93	788	7601
94	796	7586
95	803	7564
96	810	7542
97	816	7518
98	823	7493
99	830	7474
100	839	7468
101	846	7456
102	853	7431
103	859	7409
104	866	7386
105	873	7366
106	880	7345
107	886	7324
108	893	7301
109	899	7281
110	906	7262
111	913	7242
112	919	7221
113	926	7203
114	933	7183
115	940	7165
116	946	7144
117	953	7123
118	959	7104
119	966	7084
120	972	7065
121	979	7048
122	987	7039
123	994	7023
124	1001	7007
125	1007	6989
126	1014	6971
127	1020	6954
128	1027	6938
129	1034	6920
130	1040	6902
131	1048	6892
132	1054	6871
133	1060	6856
134	1067	6842
135	1074	6827
136	1081	6811
137	1088	6797
138	1094	6782
139	1102	6769
140	1109	6757
141	1115	6742
142	1122	6726
143	1129	6712
144	1135	6697
145	1142	6682
146	1149	6667
147	1155	6652
148	1162	6638
149	1169	6624
150	1175	6609
151	1182	6596
152	1190	6588
153	1196	6575
154	1203	6560
155	1210	6548
156	1216	6534
157	1223	6520
158	1230	6506
159	1236	6492
160	1243	6479
161	1250	6466
162	1256	6452
163	1263	6438
164	1269	6425
165	1276	6413
166	1283	6399
167	1289	6386
